date,"Overall"
1938-01-01,-0.020408163265306256
1939-01-01,-0.01041666666666663
1940-01-01,0
1941-01-01,0.05263157894736836
1942-01-01,0.10999999999999988
1943-01-01,0.06306306306306309
1944-01-01,0.016949152542372836
1945-01-01,0.025000000000000133
1946-01-01,0.08130081300813008
1947-01-01,0.1428571428571428
1948-01-01,0.07236842105263164
1949-01-01,-0.00613496932515345
1950-01-01,0.012345679012345734
1951-01-01,0.0792682926829269
1952-01-01,0.02259887005649719
1953-01-01,0.0055248618784529135
1954-01-01,0
1955-01-01,0
1956-01-01,0.016483516483516425
1957-01-01,0.032432432432432545
1958-01-01,0.03141361256544495
1959-01-01,0.005076142131979822
1960-01-01,0.02020202020202011
1961-01-01,0.00990099009900991
1962-01-01,0.009803921568627638
1963-01-01,0.009708737864077666
1964-01-01,0.014423076923076872
1965-01-01,0.0142180094786728
1966-01-01,0.032710280373831946
1967-01-01,0.02714932126696823
1968-01-01,0.0396475770925111
1969-01-01,0.04237288135593209
1970-01-01,0.04878048780487809
1971-01-01,0.042635658914728536
1972-01-01,0.029739776951672958
1973-01-01,0.06498194945848379
1974-01-01,0.09830508474576272
1975-01-01,0.08333333333333348
1976-01-01,0.056980056980056926
1977-01-01,0.06469002695417791
1978-01-01,0.06835443037974698
1979-01-01,0.09478672985782
1980-01-01,0.11038961038961026
1981-01-01,0.09551656920077978
1982-01-01,0.06049822064056931
1983-01-01,0.04194630872483218
1984-01-01,0.041867954911433136
1985-01-01,0.03400309119010814
1986-01-01,0.01644245142002987
1987-01-01,0.033823529411764586
1988-01-01,0.0369843527738265
1989-01-01,0.04389574759945125
1990-01-01,0.048620236530880545
1991-01-01,0.036340852130325896
1992-01-01,0.025392986698911768
1993-01-01,0.024764150943396235
1994-01-01,0.021864211737629313
1995-01-01,0.023648648648648685
1996-01-01,0.026402640264026278
1997-01-01,0.02143622722400851
1998-01-01,0.01364113326337879
1999-01-01,0.020703933747411973
2000-01-01,0.034482758620689724
2001-01-01,0.022549019607843057
2002-01-01,0.012464046021092967
2003-01-01,0.02083333333333326
2004-01-01,0.02504638218923927
2005-01-01,0.028959276018099667
2006-01-01,0.029023746701847042
2007-01-01,0.02564102564102555
2008-01-01,0.036666666666666625
2009-01-01,-0.004019292604501623
2010-01-01,0.013720742534301777
2011-01-01,0.031050955414012815
2012-01-01,0.019305019305019266
2013-01-01,0.012121212121211977
2014-01-01,0.014221556886227615
2015-01-01,-0.0007380073800737907
2016-01-01,0.008862629246676468
2017-01-01,0.017569546120058677
2018-01-01,0.020143884892086517
2019-01-01,0.014809590973201558
2020-01-01,0.010423905489923557
2021-01-01,0.04470426409903716
2022-01-01,0.07702435813034891
2023-01-01,0.03911980440097795
2024-01-01,0.025882352941176467